Category ID;Active (0/1);Name *;Parent category;Root category (0/1);Description;Meta title;Meta description;URL rewritten;Image URL
247;1;"18""";243;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=369&field=image_512
248;1;"20""";243;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=370&field=image_512
249;1;"24""";243;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=371&field=image_512
250;1;"26""";243;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=372&field=image_512
251;1;"27,5""";243;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=373&field=image_512
252;1;"28""";243;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=449&field=image_512
253;1;"29""";243;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=375&field=image_512
254;1;"700""";243;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=374&field=image_512
255;1;OTRAS;243;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=444&field=image_512
256;1;Cadenas;226;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=167&field=image_512
257;1;Recambios;256;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=170&field=image_512
258;1;Rollos de cadena;256;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=336&field=image_512
259;1;1 VEL;256;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=168&field=image_512
260;1;5/6/7/8 VEL;256;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=169&field=image_512
261;1;9/10 VEL;256;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=514&field=image_512
262;1;11/12 VEL;256;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=495&field=image_512
263;1;Cambios;226;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=69&field=image_512
264;1;Mandos de cambio;263;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=70&field=image_512
265;1;Cambios traseros;263;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=174&field=image_512
266;1;Desviadores;263;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=36&field=image_512
267;1;Protector de cambio;263;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=171&field=image_512
268;1;Recambios;263;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=173&field=image_512
269;1;Camisas;226;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=176&field=image_512
270;1;Accesorios;269;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=177&field=image_512
271;1;Cambio;269;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=178&field=image_512
272;1;Freno;269;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=179&field=image_512
273;1;Piñones;226;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=46&field=image_512
274;1;Fijos;273;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=482&field=image_512
275;1;1 velocidad;273;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=283&field=image_512
276;1;Cassette;273;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=284&field=image_512
277;1;Rosca;273;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=47&field=image_512
278;1;Cierres;226;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=180&field=image_512
